,cik,Ticker,fy,fp,date,filed,ddate,Assets,AssetsCurrent,Cash,AssetsNoncurrent,Liabilities,LiabilitiesCurrent,LiabilitiesNoncurrent,Equity,HolderEquity,RetainedEarnings,AdditionalPaidInCapital,TreasuryStockValue,TemporaryEquity,RedeemableEquity,LiabilitiesAndEquity,n_cik_bs,Revenues,CostOfRevenue,GrossProfit,OperatingExpenses,OperatingIncomeLoss,IncomeLossFromContinuingOperationsBeforeIncomeTaxExpenseBenefit,AllIncomeTaxExpenseBenefit,IncomeLossFromContinuingOperations,IncomeLossFromDiscontinuedOperationsNetOfTax,ProfitLoss,NetIncomeLossAttributableToNoncontrollingInterest,NetIncomeLoss,n_cik_is,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,NetCashProvidedByUsedInFinancingActivitiesContinuingOperations,NetCashProvidedByUsedInInvestingActivitiesContinuingOperations,NetCashProvidedByUsedInOperatingActivities,NetCashProvidedByUsedInFinancingActivities,NetCashProvidedByUsedInInvestingActivities,CashProvidedByUsedInOperatingActivitiesDiscontinuedOperations,CashProvidedByUsedInInvestingActivitiesDiscontinuedOperations,CashProvidedByUsedInFinancingActivitiesDiscontinuedOperations,EffectOfExchangeRateFinal,CashPeriodIncreaseDecreaseIncludingExRateEffectFinal,n_cik,sic,stprba,countryinc,afs,nciks
55,1800,ABBOTT LABORATORIES,2009,Q2,2009-06-30,20090807,20090630,47630017000,19628376000,4204304000,28001641000,27709949000,12042381000,15667568000,19920068000,19920068000,15296662000,0,-3338360000,0,0,47630017000,60,14213244000,6064919000,8148325000,5416146000,2732179000,3499517000,772775000,2726742000,0,2726742000,0,2726742000,60,2412519000,1354979000,-3743150000,2412519000,1354979000,-3743150000,0,0,0,67934000,92282000,60,2834,IL,US,1-LAF,1
56,1800,ABBOTT LABORATORIES,2009,Q3,2009-09-30,20091106,20090930,49846820000,21415842000,4875915000,28430978000,28472070000,12524507000,15947563000,21374750000,21374750000,16152254000,0,-3321727000,0,0,49846820000,60,21974580000,9425106000,12549474000,8177542000,4371932000,5370892000,1163783000,4207109000,0,4207109000,0,4207109000,60,5442543000,498646000,-5261587000,5442543000,498646000,-5261587000,0,0,0,84291000,763893000,60,2834,IL,US,1-LAF,1
57,1800,ABBOTT LABORATORIES,2009,FY,2009-12-31,20100219,20091231,52416623000,23313891000,8809339000,29102732000,29517894000,13049489000,16468405000,22898729000,22898729000,17054027000,0,-3310347000,0,0,52416623000,60,30764707000,13209329000,17555378000,11319637000,6235741000,7193774000,1447936000,5745838000,0,5745838000,0,5745838000,60,7275160000,1002019000,-3698710000,7275160000,1002019000,-3698710000,0,0,0,118848000,4697317000,60,2834,IL,US,1-LAF,1
58,1800,ABBOTT LABORATORIES,2010,Q1,2010-03-31,20100504,20100331,53358622000,17690678000,1566820000,35667944000,32346282000,15183485000,17162797000,21012340000,21012340000,17367857000,0,-3945682000,0,0,53358622000,60,7698354000,3335104000,4363250000,2892767000,1470483000,1322207000,319192000,1003015000,0,1003015000,0,1003015000,60,1522752000,-520199000,-7658760000,1522752000,-520199000,-7658760000,0,0,0,-586312000,-7242519000,60,2834,IL,US,1-LAF,1
59,1800,ABBOTT LABORATORIES,2010,Q2,2010-06-30,20100805,20100630,53381402000,19915307000,4321702000,33466095000,33386768000,14689260000,18697508000,19994634000,19994634000,17978462000,0,-3942188000,0,0,53381402000,60,16524368000,6879036000,9645332000,6568883000,3076449000,2880894000,586229000,2294665000,0,2294665000,0,2294665000,60,3871049000,-307321000,-7354928000,3871049000,-307321000,-7354928000,0,0,0,-696437000,-4487637000,60,2834,IL,US,1-LAF,1
60,1800,ABBOTT LABORATORIES,2010,Q3,2010-09-30,20101105,20100930,57373620000,19447420000,3818145000,37926200000,35890896000,15583871000,20307025000,21482724000,21482724000,18181133000,0,-3918310000,0,0,57373620000,60,25198873000,10620152000,14578721000,10321087000,4257634000,3945004000,759679000,3185325000,0,3185325000,0,3185325000,60,6419462000,-994427000,-9747926000,6419462000,-994427000,-9747926000,0,0,0,-668303000,-4991194000,60,2834,IL,US,1-LAF,1
61,1800,ABBOTT LABORATORIES,2010,FY,2010-12-31,20110218,20101231,59462266000,22317529000,3648371000,37144737000,36985802000,17262434000,19723368000,22476464000,22476464000,18927101000,0,-3916823000,0,0,59462266000,60,35166721000,14665192000,20501529000,14413948000,6087581000,5712834000,1086662000,4626172000,0,4626172000,0,4626172000,60,8735981000,-1087741000,-12188315000,8735981000,-1087741000,-12188315000,0,0,0,-620893000,-5160968000,60,2834,IL,US,1-LAF,1
62,1800,ABBOTT LABORATORIES,2011,Q1,2011-03-31,20110506,20110331,61651363000,23647132000,2740156000,38004231000,36931031000,17225103000,19705928000,24720332000,24720332000,19323753000,0,-3718827000,0,0,61651363000,60,9040850000,3858983000,5181867000,3880718000,1301149000,1068786000,204968000,863818000,0,863818000,0,863818000,60,2011146000,-684334000,-2301230000,2011146000,-684334000,-2301230000,0,0,0,66203000,-908215000,60,2834,IL,US,1-LAF,1
63,1800,ABBOTT LABORATORIES,2011,Q2,2011-06-30,20110804,20110630,62004241000,24132178000,4077018000,37872063000,35534538000,15839928000,19694610000,26469703000,26469703000,20509111000,0,-3713830000,0,0,62004241000,60,18657141000,7729455000,10927686000,7853084000,3074602000,2743342000,-63258000,2806600000,0,2806600000,0,2806600000,60,4514298000,-2070515000,-2095637000,4514298000,-2070515000,-2095637000,0,0,0,80501000,428647000,60,2834,IL,US,1-LAF,1
64,1800,ABBOTT LABORATORIES,2011,Q3,2011-09-30,20111104,20110930,59628176000,23094416000,5049299000,36533760000,34939204000,15413961000,19525243000,24688972000,24688972000,20052443000,0,-3691223000,0,0,59628176000,60,28473806000,11702705000,16771101000,13101621000,3669480000,3244937000,135156000,3109781000,0,3109781000,0,3109781000,60,7568728000,-4738637000,-1103642000,7568728000,-4738637000,-1103642000,0,0,0,-325521000,1400928000,60,2834,IL,US,1-LAF,1
