,CIK,Ticker
0,1750,AIR
1,1800,ABT
2,1961,WDDD
3,2034,ACET.Q
4,2098,ACU
5,2178,AE
6,2186,BKTI
7,2488,AMD
8,2491,BYI
9,2969,APD
10,3116,AKN
11,3197,CECO
12,3453,MATX
13,3499,ALX
14,3545,ALCO
15,3570,LNG
16,4127,SWKS
17,4187,IDSA
18,4281,HWM
19,4447,HES
20,4457,UHAL
21,4904,AEP
22,4962,AXP
23,4977,AFL
24,5272,AIG
25,5513,UNM
26,5768,ASE
27,5981,AVD
28,6176,AP
29,6201,AAL
30,6207,AXR
31,6281,ADI
32,6284,ALOG
33,6494,ANDR
34,6845,APOG
35,6885,SSI
36,6951,AMAT
37,6955,EPAC
38,7039,TREC
39,7084,ADM
40,7332,SWN
41,7431,AWI
42,7536,ARW
43,7623,ARTW
44,7789,ASB
45,8146,ALOT
46,8177,AAME
47,8411,ATW
48,8504,UAVS
49,8670,ADP
50,8818,AVY
51,8858,AVT
52,8868,AVP
53,8947,AZZ
54,9092,BMI
55,9326,BCPC
56,9346,PTVC.B
57,9389,BALL
58,9892,BCR
59,9984,B
60,10048,BRN
61,10254,ESTE
62,10329,BSET
63,10456,BAX
64,10795,BDX
65,11199,BMS
66,11544,WRB
67,12040,BDL
68,12208,BIO
69,12239,DOMH
70,12659,HRB
71,12927,BA
72,13156,GLXZ
73,13573,BWL A
74,14177,BRID
75,14195,BGGS.Q
76,14272,BMY
77,14693,BF.B
78,14707,CAL
79,14846,BRT
80,14930,BC
81,15615,MTZ
82,15847,BUKS
83,16040,CBT
84,16058,CACI
85,16099,LUB
86,16160,CALM
87,16732,CPB
88,16918,STZ
89,17485,LBMH
90,17843,CRS
91,18172,CTAM
92,18255,CATO
93,18349,SNV
94,18396,CDI
95,18498,GCO
96,18926,LUMN
97,19149,CHMP
98,19411,MGLN
99,19446,CMD
100,19584,CHE
101,19612,TCF
102,19617,JPM
103,19745,CPK
104,19871,CVR
105,20171,CB
106,20212,CHDN
107,20286,CINF
108,20520,FYBR
109,20629,CSS
110,20639,ABCP
111,20740,CLC
112,21076,CLX
113,21175,CNA
114,21344,KO
115,21510,COHR
116,21535,COHU
117,21665,CL
118,22252,CMRO
119,22356,CBSH
120,22701,PEGY
121,22872,CMP
122,23111,CTG
123,23194,CRK
124,23197,CMTL
125,23217,CAG
126,23675,CNW
127,23795,CTO
128,24090,CIA
129,24104,CUO
130,24491,CTB
131,24545,TAP
132,24741,GLW
133,25212,CRRC
134,25445,CXT
135,25475,CRD.B
136,25743,TXMD
137,25895,CRWS
138,26058,CTS
139,26076,CUB
140,26172,CMI
141,26324,CW
142,26780,DAN
143,27093,USAU
144,27904,DAL
145,27996,DLX
146,28412,CMA
147,28561,DEWY
148,28823,DBD
149,28917,DDS
150,29002,DIOD
151,29534,DG
152,29644,DCI
153,29669,RRD
154,29834,ESCR.Q
155,29952,CHJI
156,29989,OMC
157,30305,DCO
158,30554,DD
159,30625,FLS
160,30697,WEN
161,30831,DYSL
162,31107,EML
163,31235,KODK
164,31347,ELON
165,31462,ECL
166,31667,EDUC
167,31791,RVTY
168,31978,EE
169,32166,ELRC
170,32567,MTWD
171,32604,EMR
172,32621,MSN
173,32689,EDE
174,33002,EBF
175,33185,EFX
176,33213,EQT
177,33488,ESCA
178,33533,ESP
179,33619,ESL
180,33769,BOBE
181,33992,KINS
182,34067,BOOM
183,34088,XOM
184,34285,RLBY
185,34408,FDO
186,34563,FARM
187,34956,TENX
188,35214,FOE
189,35527,FITB
190,36029,FFIN
191,36047,CLGX
192,36104,USB
193,36146,TRMK
194,36270,MTB
195,36369,FHRT
196,36377,FHB
197,36506,MFNC
198,36966,FHN
199,37049,FWV
200,37472,FLXS
201,37785,FMC
202,37808,FNB
203,37996,F
204,38067,FCE A
205,38074,FRX
206,38079,FST
207,38264,FORD
208,38725,FELE
209,38777,BEN
210,38984,ELLH
211,39020,FEIM
212,39092,FRD
213,39263,CFR
214,39311,IBCP
215,39368,FUL
216,39648,GK
217,39677,AVHI
218,39899,TGNA
219,39911,GAP
220,40211,GATX
221,40533,GD
222,40570,JOB
223,40704,GIS
224,40729,ALLY
225,40888,AJRD
226,40987,GPC
227,41719,GLT
228,42228,GLDC
229,42582,GT
230,42682,GRC
231,42888,GGG
232,43196,GTN
233,43350,EGAS
234,43920,GEF
235,45012,HAL
236,45876,NVRI
237,45919,HHS
238,46080,HAS
239,46129,ALNT
240,46195,BOH
241,46250,HWKN
242,46619,HEI
243,46765,HP
244,47111,HSY
245,47217,HPQ
246,47307,CRAW.A
247,47518,HRC
248,48287,HNI
249,48465,HRL
250,49071,HUM
251,49196,HBAN
252,49615,AIOT
253,49728,IEC
254,49754,DIN
255,49826,ITW
256,50104,ANDV
257,50292,IEHC
258,50471,TRAK
259,50493,IMKT.A
260,50863,INTC
261,51143,IBM
262,51253,IFF
263,51548,ISCA
264,51644,IPG
265,52827,RYN
266,52988,J
267,54187,MAYS
268,54381,KAMN
269,54441,FRM
270,54473,KCLI
271,54480,KSU
272,54681,KT
273,55067,K
274,55135,KELY.A
275,55242,KMT
276,55362,IHRC
277,55529,KEQU
278,55772,KBAL
279,55785,KMB
280,56047,KEX
281,56679,KFY
282,56701,KOSS
283,56868,PNRG
284,56873,KR
285,56978,KLIC
286,57131,LZB
287,57515,LANC
288,57528,LNCE
289,57725,LCI
290,58361,LEE
291,58492,LEG
292,58592,FOUR.Q
293,58822,LCAR
294,59255,VHI
295,59440,VGR
296,59478,LLY
297,59527,LECO
298,59558,LNC
299,60086,L
300,60519,LPX
301,60667,LOW
302,60714,LXU
303,60977,LDL
304,61004,LGL
305,61398,TELL
306,61986,MTW
307,62234,MCS
308,62709,MMC
309,62996,MAS
310,63276,MAT
311,63296,MATW
312,63330,MLP
313,63754,MKC
314,64040,SPGI
315,64463,SLNH
316,64472,GENC
317,64803,CVS
318,64996,MCY
319,65270,MEI
320,65312,EVI
321,65596,SIEB
322,65759,MPAD
323,65770,MVIS
324,65984,ETR
325,66004,MSEX
326,66382,MLKN
327,66418,MXC
328,66570,MSA
329,66649,MGN
330,66740,MMM
331,66756,ALE
332,67215,DY
333,67279,MOCO
334,67347,MOD
335,67625,MNR
336,67716,MDU
337,67887,MOG.A
338,68270,RT
339,68505,MSI
340,68709,MTSC
341,69422,INTG
342,69488,MYE
343,69499,VTRS
344,69633,NSSC
345,69733,NATH
346,69891,FIZZ
347,70145,NFG
348,70318,THC
349,70415,GPX
350,70487,NRC
351,70793,NTY
352,70858,BAC
353,70866,VYX
354,71557,NUVR
355,71691,NYT
356,71829,NR
357,72162,NL
358,72170,NRTI
359,72205,NOBH
360,72207,NBL
361,72331,NDSN
362,72333,JWN
363,72444,VXRT
364,72573,MOV
365,72741,ES
366,72903,XEL
367,72971,WFC
368,73124,NTRS
369,73290,BMRA
370,73309,NUE
371,73605,OKRG.Q
372,73756,OII
373,73887,VTOL
374,74046,ODC
375,74260,ORI
376,74303,OLN
377,75208,OSG
378,75252,OMI
379,75288,OXM
380,75340,PFIN
381,75439,MDIT
382,75677,PKG
383,75829,PLL
384,76149,PARF
385,76267,PKE
386,76282,PKOH
387,76321,PKDC
388,76334,PH
389,76605,PATK
390,77159,ROCC
391,77360,PNR
392,77449,PBY
393,77476,PEP
394,77543,TPC
395,77776,PHH
396,77877,PDCE
397,78003,PFE
398,78128,WTRG
399,78239,PVH
400,78460,PNY
401,78749,AGYS
402,78814,PBI
403,78890,BCO
404,79282,BRO
405,79661,PRSI
406,79879,PPG
407,79958,PCP
408,80035,PLPC
409,80172,NPK
410,80420,POWL
411,80424,PG
412,81061,PUSH
413,81157,PGAI
414,81318,YUMA.Q
415,81362,KWR
416,82020,USLM
417,82166,RAVN
418,82811,RRX
419,83350,RSRV
420,83402,REXI
421,84112,RSKI.A
422,84129,RAD
423,84246,RLI
424,84748,ROG
425,84839,ROL
426,85408,RDC
427,85535,RGLD
428,85961,R
429,85974,RYL
430,86115,SFES
431,86144,SWY
432,86264,CRBO
433,86312,TRV
434,86759,SFEF
435,87050,NEON
436,87347,SLB
437,87565,SHLM
438,87802,SCND
439,88121,SEB
440,88205,SPXC
441,88790,IIN
442,88941,SMTC
443,88948,SENE.A
444,89089,SCI
445,89140,SVT
446,89270,SLI
447,89439,MLI
448,89800,SHW
449,90168,SIF
450,90185,SIAL
451,90498,SFNC
452,90721,PVSP
453,90896,SKY
454,91142,AOS
455,91388,SFD
456,91419,SJM
457,91440,SNA
458,91576,KEY
459,91668,SODI
460,91767,SON
461,91928,SJI
462,92122,SO
463,92230,TFC
464,92380,LUV
465,92679,SPA
466,93205,LTDH
467,93314,VNRX
468,93389,SMP
469,93410,CVX
470,93676,SCX
471,93751,STT
472,94049,SCL
473,94344,STC
474,94845,LEVI
475,95029,RGR
476,95047,DVLY
